SAMPLE	PC1	PC2
HG00156.alt_bwamem_GRCh38DH.20150718.GBR.low_coverage.cram.by1000.	-0.16599871201205135	0.133844108907479
HG00380.alt_bwamem_GRCh38DH.20150718.FIN.low_coverage.cram.by1000.	0.2594811198440757	0.515780103273759
HG01072.alt_bwamem_GRCh38DH.20150718.PUR.low_coverage.cram.by1000.	-0.2589715613787241	-0.21350809582609112
HG01174.alt_bwamem_GRCh38DH.20150718.PUR.low_coverage.cram.by1000.	-0.1712536916451417	-0.11074554135709459
HG01770.alt_bwamem_GRCh38DH.20150718.IBS.low_coverage.cram.by1000.	-0.045096705401333745	0.17434124005786217
HG02236.alt_bwamem_GRCh38DH.20150718.IBS.low_coverage.cram.by1000.	0.4411240139304976	-0.37900727179277505
HG02308.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.cram.by1000.	0.49255223177255464	0.19579076874514062
HG02783.alt_bwamem_GRCh38DH.20150718.PJL.low_coverage.cram.by1000.	-0.12617702991699545	0.02135640548670506
HG03069.alt_bwamem_GRCh38DH.20150718.MSL.low_coverage.cram.by1000.	0.15049106070089072	-0.05322613594048161
HG03650.alt_bwamem_GRCh38DH.20150718.PJL.low_coverage.cram.by1000.	-0.11790953724385515	-0.0010818936393663823
HG04302.alt_bwamem_GRCh38DH.20150718.GBR.low_coverage.cram.by1000.	0.06463915848836507	0.06856932668152764
NA12890.alt_bwamem_GRCh38DH.20150718.CEU.low_coverage.cram.by1000.	-0.21314229657887007	0.020688446141393372
NA19210.alt_bwamem_GRCh38DH.20150718.YRI.low_coverage.cram.by1000.	-0.1946790701520195	0.002081736392237729
NA19729.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	-0.06634399721981732	0.02717173152553745
NA19756.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	-0.0555365145581954	-0.0863215251986657
NA19795.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	0.2162471307236999	-0.5762033217001029
NA20762.alt_bwamem_GRCh38DH.20150718.TSI.low_coverage.cram.by1000.	0.1977293755029962	-0.24104205469321818
NA20903.alt_bwamem_GRCh38DH.20150718.GIH.low_coverage.cram.by1000.	0.3690038633445	0.1977506450499745
