MARKER	Loading1	Loading2
chr1:4953001-4954000	-0.012361607268941168	0.005990419147600797
chr1:4954001-4955000	-0.018711801136794156	0.006395792026095336
chr1:4955001-4956000	0.004123820211244207	-0.0026649791802314813
chr1:4956001-4957000	0.004006222602191497	-0.004621491622989677
chr1:4957001-4958000	0.0031330541151236664	-0.001921927229043471
chr1:4959001-4960000	0.006197347609656833	0.004562247913074465
chr1:4963001-4964000	0.0071815439816598275	0.0051096441235648545
chr1:4964001-4965000	0.0023582781469133154	-0.009694808240244587
chr1:4965001-4966000	0.003182205682759373	-0.005598303849187641
chr1:4966001-4967000	0.00910885570917019	-0.016734408356457495
chr1:5001001-5002000	8.230336630103178E-4	-0.0023368616219041696
chr1:5005001-5006000	0.005604946038833235	-0.00808315248590361
chr1:5007001-5008000	0.002940222966716518	-0.0030179312237577126
chr1:5009001-5010000	0.008765557536665428	-0.012133704706754766
chr1:5010001-5011000	0.009314003514088367	-0.007972642584134694
chr1:5017001-5018000	0.004485043651882522	-0.010433314859597054
chr1:5020001-5021000	-0.002280450960658153	0.006732398139929081
chr1:5025001-5026000	-0.01463681926320137	0.002592138780408923
chr1:5026001-5027000	-0.013903576958944815	0.008368209977029344
chr1:5027001-5028000	0.0031149299584392305	-0.012632492442881126
chr1:5028001-5029000	-0.005776009181649461	-9.583931447687698E-4
chr1:5031001-5032000	-0.006137846073489243	0.008333783962972966
chr1:5032001-5033000	0.002735875077774157	0.004197871964950818
chr1:5035001-5036000	0.0027036883596852548	0.011798900785693938
chr1:5037001-5038000	0.0023143281695867553	-0.001881627990520204
chr1:5039001-5040000	-3.515448628301401E-4	5.501721487627957E-4
chr1:5041001-5042000	0.005938878281387688	0.006558112130071385
chr1:5121001-5122000	0.0017775892192871809	-0.0018257134159957243
chr1:5122001-5123000	5.036267770057784E-4	0.0024064050372744677
chr1:5123001-5124000	-0.003913783714850432	0.0020195295894715917
chr1:5125001-5126000	-0.003981757010544073	-0.005034127348849049
chr1:5127001-5128000	0.003983578923900818	-0.010907636589281285
chr1:5130001-5131000	0.002796106443199302	0.0024782418736463683
chr1:5132001-5133000	-0.011383642634766834	0.006240769629900338
